enumeration,size,extent,label_count,min,max,mean,stdev,ci95_min,ci95_max
178,4,10.720113852007357,3,4978.058794,5210.565108,5030.1805104,101.14687929504049,4904.590071856798,5155.770948943201
177,4,10.665358174951274,3,5072.769078,5275.162179,5150.087025000001,94.81609007140543,5032.3572995154955,5267.816750484506
176,4,10.650040985836625,4,4900.014344,5053.746708,4960.71708,60.2066556841493,4885.960643189571,5035.47351681043
175,4,10.644377201132999,3,4707.816532,4835.095789,4761.7187292,51.19844882824285,4698.147458530199,4825.2899998698
174,4,10.62240942536108,3,4867.820809,4993.132698,4928.5655694,48.5572743772785,4868.273749958726,4988.857388841274
173,4,10.605933857987235,3,4919.794941,5109.019273,4982.5127998,74.92016607001487,4889.487126857423,5075.538472742576
172,4,10.540747981049543,2,4787.579887,4987.003713,4865.873888,85.28981831250265,4759.972591194865,4971.775184805135
171,4,10.516640670860635,3,4992.660546,5117.691023,5042.6539826,46.26997383667517,4985.202221892881,5100.105743307118
170,4,10.505339309132285,4,4905.491645,5010.064164,4941.6789032,43.24736844487732,4887.980202788411,4995.377603611589
169,4,10.452950875231355,4,4810.887015,4952.061661,4881.106117,66.19850935618511,4798.90981120298,4963.302422797021
168,4,10.431845905687059,2,4805.177468,4901.28515,4869.339859,40.87058597452302,4818.592323813221,4920.0873941867785
167,4,10.200884765548526,4,4837.589351,4985.979132,4899.2107686,57.75077188359353,4827.503714288296,4970.917822911704
166,4,10.175821441043468,4,4955.940636,5150.638145,5001.6238526,83.72616805837936,4897.664084021067,5105.583621178933
165,4,10.153603744484021,4,4967.537643,5263.093989,5041.1817722,124.96577871131376,4886.016263776685,5196.347280623314
164,4,10.12415710071707,4,5065.062067,5135.842888,5105.8733166,36.17333022756374,5060.958194764199,5150.788438435801
163,4,9.998148878667491,4,5094.71218,5242.998726,5135.9588972,61.679614105479516,5059.373540947072,5212.544253452928
162,4,9.832138221160237,3,5097.672626,5228.99315,5146.78796,49.921869084204985,5084.801772439105,5208.774147560895
161,4,9.824311986088391,4,4775.152308,4897.825822,4819.223025400001,52.699158875705024,4753.788377092644,4884.657673707357
160,4,9.607672663033437,4,4825.003505,4973.492342,4888.7124642,60.33711375047535,4813.794042305349,4963.630886094651
159,4,9.52049048106241,3,5100.805494,5238.480551,5151.0932538,52.79377531525128,5085.5411236660275,5216.645383933972
158,4,9.420830271265903,2,5020.528286,5231.949367,5081.7092452,86.78924721910128,4973.946161503796,5189.472328896203
157,4,9.250701649064245,3,4853.159187,4969.617986,4908.8973254,47.31164374050785,4850.152160675363,4967.642490124637
156,4,9.103356359057901,2,4803.24267,5068.783,4876.812837199999,110.82715514385929,4739.202748643414,5014.422925756584
155,4,9.03502396233679,4,4978.948836,5285.415937,5069.746315599999,124.10096826836525,4915.654611168896,5223.838020031103
154,4,8.888601408545664,3,4808.789991,5104.581365,4901.1901712,122.16800550943212,4749.498557036377,5052.881785363623
153,4,8.352156428132798,2,5045.585551,5198.803049,5116.7377192,64.15466960671158,5037.079175637835,5196.396262762166
152,4,8.323286970902783,3,4945.188263,5094.064401,5007.5748376,61.99291757795574,4930.600463704811,5084.549211495189
151,4,5.958481098400833,3,5009.103148,5264.332691,5072.802189200001,107.61144197362549,4939.1849359151865,5206.419442484815
150,4,5.497307704685995,3,4956.784786,5128.614806,5012.694073199999,70.51237431257805,4925.141396593858,5100.2467498061405
149,3,14.996175078999318,3,5103.134693,5274.231537,5164.5707276,67.72146405792519,5080.483423779056,5248.658031420945
148,3,14.993024578116318,3,5223.465035,5419.788697,5325.5694156,80.22666206483841,5225.954857624464,5425.183973575536
147,3,14.930259642752365,3,5236.97434,5513.010433,5368.8099732,112.44579343167716,5229.190079755447,5508.429866644553
146,3,14.881430643590681,3,5117.037024,5263.446894,5185.6464696,69.38700400312783,5099.491124791661,5271.80181440834
145,3,14.876109101509053,3,4961.668818,5157.656634,5027.9424602,75.66100018250044,4933.996920211369,5121.888000188631
144,3,14.804918540809334,3,5051.315196,5224.887143,5145.693753199999,69.1600735966258,5059.820179707493,5231.567326692506
143,3,14.791947268699952,1,5027.890476,5225.05366,5099.0748584,76.48147705927585,5004.110561812184,5194.039154987817
